100, 200, 0.2, 640, 594, -34, cave
48, 22, 0.2, 588, 372, -34, cave
48, 22, 0.2, 692, 372, -34, cave
4, 15, 0.2, 640, 365, -34, cave
0.2, 222, 80, 540, 572, -114, volcano
0.2, 222, 80, 740, 572, -114, volcano
100, 0.2, 80, 640, 350, -114, volcano
10, 10, 24, 640, 420, -60, volcano
6, 4, 0.2, 640, 407, -100, techno
3, 8, 0.2, 626, 420, -105, techno
3, 8, 0.2, 654, 420, -105, techno
6, 4, 0.2, 640, 433, -110, techno
4, 4, 50, 640, 450, -170, volcano
4, 4, 0.1, 640, 450, -119.9, volcano
4, 4, 20, 640, 465, -145, volcano
4, 4, 0.1, 640, 465, -125, volcano
4, 4, 20, 640, 480, -150, volcano
4, 4, 0.1, 640, 480, -130, volcano
1, 1, 20, 640, 490, -130, volcano
1, 1, 20, 640, 500, -130, volcano
1, 1, 20, 640, 510, -130, volcano
1, 1, 0.2, 640, 508, -135, cave
1, 1, 0.2, 640, 502, -130, cave
1, 1, 0.2, 640, 498, -125, cave
1, 1, 0.2, 640, 492, -120, cave
1, 1, 0.2, 640, 488, -115, cave
10, 30, 20, 620, 500, -60, volcano
4, 4, 50, 670, 460, -100, volcano
4, 4, 50, 670, 480, -100, volcano
4, 4, 50, 670, 440, -100, volcano
2, 3, 0.2, 634, 510, -108, techno
2, 3, 0.2, 634, 500, -102, techno
2, 3, 0.2, 634, 490, -96, techno
10, 3, 0.2, 620, 476, -100, techno
3, 3, 0.2, 605, 476, -106, techno
3, 3, 0.2, 605, 486, -112, techno
3, 3, 0.2, 605, 496, -118, techno
3, 3, 0.2, 605, 506, -122, techno
4, 4, 20, 605, 516, -150, volcano
4, 4, 0.1, 605, 516, -130, volcano
4, 4, 15, 605, 526, -150, volcano
4, 4, 0.1, 605, 526, -135, volcano
4, 4, 15, 605, 534, -150, volcano
4, 4, 0.1, 605, 534, -135, volcano
4, 4, 15, 605, 542, -150, volcano
4, 4, 0.1, 605, 542, -135, volcano
4, 4, 15, 605, 550, -150, volcano
4, 4, 0.1, 605, 550, -135, volcano
4, 4, 15, 605, 558, -150, volcano
4, 4, 0.1, 605, 558, -135, volcano
4, 4, 15, 605, 566, -150, volcano
4, 4, 0.1, 605, 566, -135, volcano
4, 4, 15, 605, 574, -150, volcano
4, 4, 0.1, 605, 574, -135, volcano
4, 4, 15, 605, 582, -150, volcano
4, 4, 0.1, 605, 582, -135, volcano
4, 4, 15, 605, 590, -150, volcano
4, 4, 0.1, 605, 590, -135, volcano
4, 4, 15, 605, 598, -150, volcano
4, 4, 0.1, 605, 598, -135, volcano
4, 40, 20, 610, 558, -60, volcano
4, 40, 20, 600, 558, -60, volcano
4, 4, 15, 620, 598, -144, volcano
4, 4, 0.1, 620, 598, -129, volcano
4, 4, 15, 620, 580, -150, volcano
4, 4, 0.1, 620, 580, -135, volcano
4, 4, 15, 620, 560, -150, volcano
4, 4, 0.1, 620, 560, -135, volcano
4, 4, 15, 628, 598, -150, volcano
4, 4, 0.1, 628, 598, -135, volcano
4, 4, 15, 636, 598, -150, volcano
4, 4, 0.1, 636, 598, -135, volcano
4, 4, 15, 656, 598, -150, volcano
4, 4, 0.1, 656, 598, -135, volcano
4, 4, 15, 656, 614, -150, volcano
4, 4, 0.1, 656, 614, -135, volcano
4, 4, 15, 656, 622, -150, volcano
4, 4, 0.1, 656, 622, -135, volcano
4, 4, 15, 656, 630, -150, volcano
4, 4, 0.1, 656, 630, -135, volcano
4, 4, 15, 656, 638, -150, volcano
4, 4, 0.1, 656, 638, -135, volcano
4, 4, 15, 656, 646, -150, volcano
4, 4, 0.1, 656, 646, -135, volcano
4, 4, 15, 656, 654, -150, volcano
4, 4, 0.1, 656, 654, -135, volcano
4, 4, 15, 656, 662, -150, volcano
4, 4, 0.1, 656, 662, -135, volcano
4, 4, 15, 656, 670, -150, volcano
4, 4, 0.1, 656, 670, -135, volcano
4, 4, 15, 656, 678, -150, volcano
4, 4, 0.1, 656, 678, -135, volcano
4, 4, 15, 656, 686, -150, volcano
4, 4, 0.1, 656, 686, -135, volcano
4, 4, 15, 656, 694, -144, volcano
4, 4, 0.1, 656, 694, -129, volcano
30, 20, 20, 650, 575, -60, volcano
20, 40, 20, 630, 647, -60, volcano
10, 10, 20, 675, 670, -60, volcano
10, 10, 20, 695, 650, -60, volcano
10, 10, 20, 675, 630, -60, volcano
4, 8, 0.2, 656, 710, -126, techno
4, 8, 0.2, 656, 726, -120, techno
4, 8, 0.2, 656, 744, -114, techno
4, 8, 0.2, 656, 760, -114, techno
4, 8, 0.2, 656, 776, -114, techno
4, 8, 0.2, 656, 792, -114, techno
50, 0.2, 80, 590, 794, -114, volcano
35, 0.2, 80, 705, 794, -114, volcano
15, 0.2, 37, 655, 794, -70, techno
15, 0.2, 20, 655, 794, -135, techno
5, 0.2, 4, 665, 794.2, -111, techno
6, 0.2, 4, 646, 794.2, -111, techno
8, 8, 20, 665, 789, -60, volcano
8, 8, 20, 647, 789, -60, volcano
4, 8, 0.2, 656, 808, -114, techno
4, 8, 0.2, 656, 824, -114, techno
4, 8, 0.2, 656, 840, -114, techno
